--- A078567 sequence check ---
a(1): PASS (0)
a(2): PASS (1)
a(3): PASS (4)
a(4): PASS (9)
a(5): PASS (17)
a(6): PASS (27)
a(7): PASS (41)
a(8): PASS (57)
a(9): PASS (77)
a(10): PASS (100)
a(11): PASS (127)

--- Identity check (all methods vs brute force, n <= 300) ---
All n in [2,300]: PASS

--- Asymptotic error and empirical theta ---
a(n) = n^2/2*log(n) + (g-3/4)*n^2 + n/4  +  err_osc
err_osc = O(n^{theta+1/2}).  ratio=1.0010  cutoff=1000
Below cutoff: fused verified vs hoying.  Above: fused only (trusted).
Computing 36860 sample points on 20 threads...

                   n   err_a/n^.75  env_max/n^.75   err_D/n^.25   combo/n^.25      θ_slope  method
                1147       0.00209       0.14760             -             -    -1572.4937  fused
                1149      -0.02742       0.14740             -             -    +1477.8672  fused
                1150      -0.05074       0.14731             -             -     +707.9216  fused
                1151      -0.06289       0.14721             -             -     +247.2741  fused
                1152      -0.10435       0.14712             -             -     +583.2321  fused
                1153      -0.06386       0.14702             -             -     -565.7228  fused
                1154      -0.05269       0.14693             -             -     -221.4963  fused
                1155      -0.06069       0.14683             -             -     +163.4232  fused
                1157      -0.00800       0.14664             -             -    -1170.8585  fused
                1158       0.00223       0.14654             -             -    -1478.9172  fused
                1159       0.01350       0.14645             -             -    +2086.5425  fused
                1160      -0.00438       0.14636             -             -    -1305.3797  fused
                1161       0.02911       0.14626             -             -    +2198.6742  fused
                1162       0.05356       0.14617             -             -     +708.6001  fused
                1164       0.06543       0.14598             -             -     +116.6467  fused
                1165       0.08299       0.14588             -             -     +277.1136  fused
                1166       0.07153       0.14579             -             -     -172.8592  fused
                1167       0.06118       0.14570             -             -     -182.2310  fused
                1168       0.03189       0.14560             -             -     -760.2038  fused
                1169       0.01374       0.14551             -             -     -983.6956  fused
                1171       0.00076       0.14532             -             -    -1690.9792  fused
                1172       0.00592       0.14523             -             -    +2400.0496  fused
                1173       0.00219       0.14514             -             -    -1166.0397  fused
                1174      -0.00043       0.14504             -             -    -1909.1903  fused
                1175      -0.03183       0.14495             -             -    +5055.8781  fused
                1176      -0.07204       0.14486             -             -     +960.3444  fused
                1178      -0.01965       0.14467             -             -     -764.3119  fused
                1179       0.00321       0.14458             -             -    -2135.4733  fused
                1180       0.00730       0.14449             -             -     +969.3585  fused
                1181       0.03237       0.14440             -             -    +1758.7664  fused
                1182       0.02877       0.14431             -             -     -138.7932  fused
                1184      -0.00471       0.14412             -             -    -1069.8071  fused
                1185      -0.00486       0.14403             -             -      +35.6788  fused
                1186      -0.00385       0.14394             -             -     -274.5344  fused
                1187      -0.02148       0.14385             -             -    +2039.2532  fused
                1188      -0.07746       0.14376             -             -    +1523.5581  fused
                1189      -0.05320       0.14367             -             -     -446.3776  fused
                1191      -0.00127       0.14349             -             -    -2221.2291  fused
                1192       0.01653       0.14340             -             -    +3056.3677  fused
                1193       0.03549       0.14331             -             -     +911.0912  fused
                1194       0.02605       0.14322             -             -     -368.6236  fused
                1195       0.01781       0.14313             -             -     -454.2382  fused
                1197      -0.02459       0.14295             -             -     +193.2009  fused
                1198      -0.02923       0.14286             -             -     +207.4346  fused
                1199      -0.04249       0.14277             -             -     +448.6144  fused
                1200      -0.07416       0.14268             -             -     +668.2602  fused
                1201      -0.00656       0.14259             -             -    -2911.0548  fused
                1203       0.05367       0.14241             -             -    +1263.3282  fused
                1204       0.04640       0.14233             -             -     -174.9537  fused
                1205       0.05991       0.14224             -             -     +308.0242  fused
                1206       0.05507       0.14215             -             -     -101.2983  fused
                1207       0.07098       0.14206             -             -     +306.6150  fused
                1209       0.05765       0.14188             -             -     -125.3679  fused
                1210       0.04797       0.14180             -             -     -222.2045  fused
                1211       0.04927       0.14171             -             -      +32.6193  fused
                1212       0.04207       0.14162             -             -     -191.2443  fused
                1213       0.04584       0.14153             -             -     +104.4272  fused
                1215      -0.02065       0.14136             -             -     -483.8346  fused
                1216      -0.05196       0.14127             -             -    +1121.9845  fused
                1217      -0.05287       0.14118             -             -      +21.2315  fused
                1218      -0.08162       0.14110             -             -     +528.9752  fused
                1220      -0.08679       0.14092             -             -      +37.7402  fused
                1221      -0.07296       0.14084             -             -     -211.6531  fused
                1222      -0.07723       0.14075             -             -      +69.7238  fused
                1223      -0.07055       0.14066             -             -     -110.2787  fused
                1224      -0.10127       0.14058             -             -     +442.4626  fused
                1226       0.00051       0.14041             -             -    -3240.1275  fused
                1227       0.03635       0.14032             -             -    +5232.1828  fused
                1228       0.04450       0.14023             -             -     +248.7482  fused
                1229       0.04430       0.14015             -             -       -5.2858  fused
                1231       0.02854       0.13998             -             -     -270.3029  fused
                1232       0.00338       0.13989             -             -    -2628.3215  fused
                1233       0.03722       0.13981             -             -    +2958.4237  fused
                1234       0.05312       0.13972             -             -     +438.9081  fused
                1236       0.05999       0.13955             -             -      +75.4067  fused
                1237       0.07977       0.13947             -             -     +352.6599  fused
                1238       0.06252       0.13938             -             -     -301.3680  fused
                1239       0.03703       0.13930             -             -     -648.4869  fused
                1240       0.00332       0.13921             -             -    -2989.5033  fused
                1242      -0.01220       0.13905             -             -     +807.9122  fused
                1243       0.00594       0.13896             -             -     -893.7432  fused
                1244       0.00629       0.13888             -             -      +72.3431  fused
                1245      -0.00156       0.13880             -             -    -1739.5702  fused
                1247      -0.03226       0.13863             -             -    +1889.3346  fused
                1248      -0.06462       0.13855             -             -     +866.7736  fused
                1249      -0.01943       0.13846             -             -    -1499.9474  fused
                1250      -0.01100       0.13838             -             -     -710.7610  fused
                1252       0.00990       0.13821             -             -      -65.3446  fused
                1253       0.01288       0.13813             -             -     +329.5642  fused
                1254      -0.01125       0.13805             -             -     -169.8102  fused
                1255       0.00396       0.13797             -             -    -1310.4205  fused
                1257      -0.01841       0.13780             -             -     +965.8670  fused
                1258      -0.04645       0.13772             -             -    +1163.8328  fused
                1259      -0.07308       0.13764             -             -     +570.4609  fused
                1260      -0.13611       0.13755             -             -     +783.6444  fused
                1262      -0.01222       0.13739             -             -    -1519.7631  fused
                1263       0.02339       0.13731             -             -     +820.3537  fused
                1264       0.03204       0.13723             -             -     +397.9863  fused
                1266       0.06294       0.13707             -             -     +427.2230  fused
                1267       0.07575       0.13698             -             -     +234.9546  fused
                1268       0.07113       0.13690             -             -      -79.5026  fused
                1269       0.05852       0.13682             -             -     -247.3137  fused
                1271       0.02818       0.13666             -             -     -463.7014  fused
                1272      -0.01770       0.13658             -             -     -591.3209  fused
                1273      -0.01518       0.13650             -             -     -194.8638  fused
                1274      -0.03938       0.13642             -             -    +1214.1418  fused
                1276      -0.03658       0.13626             -             -      -46.8455  fused
                1277      -0.00026       0.13618             -             -    -6296.0737  fused
                1278      -0.00934       0.13610             -             -    +4557.7407  fused
                1280      -0.00446       0.13594             -             -     -472.6673  fused
                1281       0.02816       0.13586             -             -    +2360.2472  fused
                1282       0.06219       0.13578             -             -    +1015.5019  fused
                1283       0.07897       0.13570             -             -     +306.5890  fused
                1285       0.05160       0.13554             -             -     -272.9986  fused
                1286       0.03546       0.13546             -             -     -481.8408  fused
                1287      -0.00712       0.13538             -             -    -2065.4491  fused
                1289      -0.02266       0.13523             -             -     +745.9686  fused
                1290      -0.03287       0.13515             -             -     +479.5847  fused
                1291      -0.02301       0.13507             -             -     -459.5965  fused
                1292      -0.03026       0.13499             -             -     +353.8190  fused
                1294      -0.04030       0.13483             -             -     +185.4610  fused
                1295      -0.07088       0.13476             -             -     +731.2330  fused
                1296      -0.10921       0.13468             -             -     +560.1637  fused
                1298      -0.05177       0.13452             -             -     -483.7453  fused
                1299      -0.04398       0.13445             -             -     -211.6348  fused
                1300      -0.05317       0.13437             -             -     +246.9440  fused
                1301      -0.01470       0.13429             -             -    -1672.1599  fused
                1303       0.02974       0.13414             -             -     +459.1820  fused
                1304       0.04496       0.13406             -             -     +538.9819  fused
                1305       0.05247       0.13398             -             -     +201.5348  fused
                1307       0.09038       0.13383             -             -     +355.3992  fused
                1308       0.06560       0.13375             -             -     -418.7132  fused
                1309       0.06075       0.13367             -             -     -100.2652  fused
                1311       0.04645       0.13352             -             -     -175.4988  fused
                1312       0.03702       0.13344             -             -     -297.4657  fused
                1313       0.04747       0.13337             -             -     +326.4607  fused
                1315       0.04544       0.13322             -             -      -28.3583  fused
                1316       0.02385       0.13314             -             -     -847.5620  fused
                1317       0.03128       0.13306             -             -     +356.8748  fused
                1318       0.01280       0.13299             -             -    -1176.4653  fused
                1320      -0.09250       0.13284             -             -    +1304.4250  fused
                1321      -0.05147       0.13276             -             -     -773.9666  fused
                1322      -0.04541       0.13269             -             -     -165.1186  fused
                1324      -0.03777       0.13254             -             -     -121.6642  fused
                1325      -0.04527       0.13246             -             -     +240.3064  fused
                1326      -0.05121       0.13239             -             -     +163.4716  fused
                1328      -0.04017       0.13224             -             -     -160.8114  fused
                1329      -0.03231       0.13216             -             -     -289.1899  fused
                1330      -0.05012       0.13209             -             -     +584.1258  fused
                1332      -0.04468       0.13194             -             -      -76.2858  fused
                1333      -0.00332       0.13187             -             -    -3461.8907  fused
                1334       0.02144       0.13179             -             -    +2486.1847  fused
                1336       0.05755       0.13164             -             -     +659.2749  fused
                1337       0.06892       0.13157             -             -     +241.0944  fused
                1338       0.06378       0.13150             -             -     -103.3100  fused
                1340       0.04026       0.13135             -             -     -307.8050  fused
                1341       0.03092       0.13127             -             -     -353.6443  fused
                1342       0.00515       0.13120             -             -    -2403.8850  fused
                1344      -0.05049       0.13105             -             -    +1532.9481  fused
                1345      -0.00831       0.13098             -             -    -2425.8542  fused
                1346       0.02644       0.13091             -             -    +1557.6976  fused
                1348       0.01975       0.13076             -             -     -196.0629  fused
                1349      -0.00362       0.13069             -             -    -2289.3012  fused
                1351      -0.00951       0.13055             -             -     +652.6611  fused
                1352      -0.00104       0.13047             -             -    -2995.1179  fused
                1353       0.01802       0.13040             -             -    +3862.7647  fused
                1355       0.05202       0.13026             -             -     +717.8894  fused
                1356       0.04011       0.13018             -             -     -351.9333  fused
                1357       0.03881       0.13011             -             -      -44.5383  fused
                1359      -0.00354       0.12997             -             -    -1625.8530  fused
                1360      -0.03561       0.12990             -             -    +3138.8479  fused
                1361      -0.01243       0.12983             -             -    -1431.1851  fused
                1363      -0.02362       0.12968             -             -     +437.2240  fused
                1364      -0.05791       0.12961             -             -    +1223.0368  fused
                1365      -0.06378       0.12954             -             -     +132.0641  fused
                1367      -0.04383       0.12940             -             -     -255.9180  fused
                1368      -0.06250       0.12933             -             -     +485.3704  fused
                1370      -0.00150       0.12918             -             -    -2551.8730  fused
                1371       0.01592       0.12911             -             -    +3235.8411  fused
                1372       0.01725       0.12904             -             -     +110.6243  fused
                1374       0.01609       0.12890             -             -      -47.7070  fused
                1375      -0.00411       0.12883             -             -    -1874.6402  fused
                1376      -0.01376       0.12876             -             -    +1660.9572  fused
                1378      -0.01026       0.12862             -             -     -201.4409  fused
                1379      -0.00598       0.12855             -             -     -743.5596  fused
                1381       0.03413       0.12841             -             -    +1201.7021  fused
                1382       0.06111       0.12834             -             -     +805.0160  fused
                1383       0.06331       0.12827             -             -      +49.0744  fused
                1385       0.03757       0.12813             -             -     -360.8947  fused
                1386       0.00086       0.12806             -             -    -5226.6737  fused
                1387       0.03631       0.12800             -             -    +5183.6732  fused
                1389       0.05948       0.12786             -             -     +342.7704  fused
                1390       0.04726       0.12779             -             -     -319.2559  fused
                1392      -0.00708       0.12765             -             -    -1319.6127  fused
                1393       0.01223       0.12758             -             -     +760.2336  fused
                1394       0.00694       0.12751             -             -     -788.1036  fused
                1396       0.01034       0.12738             -             -     +277.6410  fused
                1397       0.01025       0.12731             -             -      -11.4957  fused
                1399      -0.02844       0.12717             -             -     +713.5107  fused
                1400      -0.07573       0.12710             -             -    +1371.0164  fused
                1401      -0.06009       0.12704             -             -     -323.7129  fused
                1403      -0.07598       0.12690             -             -     +164.7361  fused
                1404      -0.11617       0.12683             -             -     +596.1951  fused
                1406      -0.07794       0.12670             -             -     -280.1278  fused
                1407      -0.06928       0.12663             -             -     -165.3093  fused
                1408      -0.05888       0.12656             -             -     -228.7122  fused
                1410      -0.00676       0.12643             -             -    -1524.4701  fused
                1411       0.03493       0.12636             -             -    +2316.3822  fused
                1413       0.08009       0.12623             -             -     +586.0490  fused
                1414       0.08360       0.12616             -             -      +60.8836  fused
                1415       0.08887       0.12609             -             -      +86.8431  fused
                1417       0.08741       0.12596             -             -      -11.4876  fused
                1418       0.08935       0.12589             -             -      +31.2893  fused
                1420       0.04668       0.12576             -             -     -460.4466  fused
                1421       0.03669       0.12569             -             -     -341.7467  fused
                1423       0.01347       0.12556             -             -     -712.0960  fused
                1424      -0.01700       0.12549             -             -     +331.8207  fused
                1425      -0.03703       0.12543             -             -    +1108.9750  fused
                1427      -0.05442       0.12530             -             -     +274.6405  fused
                1428      -0.08623       0.12523             -             -     +657.3581  fused
                1430      -0.05834       0.12510             -             -     -278.9038  fused
                1431      -0.02452       0.12503             -             -    -1239.6776  fused
                1433       0.03984       0.12490             -             -     +347.8641  fused
                1434       0.04465       0.12484             -             -     +163.5435  fused
                1435       0.05127       0.12477             -             -     +198.4284  fused
                1437       0.03564       0.12464             -             -     -260.7035  fused
                1438       0.00488       0.12458             -             -    -2858.5102  fused
                1440      -0.11954       0.12445             -             -    +2301.7502  fused
                1441      -0.07630       0.12438             -             -     -646.4847  fused
                1443      -0.02719       0.12425             -             -     -743.7397  fused
                1444      -0.01273       0.12419             -             -    -1094.8317  fused
                1446       0.02163       0.12406             -             -     +383.2268  fused
                1447       0.03728       0.12399             -             -     +787.5165  fused
                1448       0.02067       0.12393             -             -     -853.4114  fused
                1450      -0.00697       0.12380             -             -     -786.9277  fused
                1451       0.00751       0.12374             -             -     +107.8457  fused
                1453       0.01648       0.12361             -             -     +570.8669  fused
                1454       0.01100       0.12355             -             -     -588.0228  fused
                1456      -0.03683       0.12342             -             -     +879.4596  fused
                1457      -0.01127       0.12336             -             -    -1723.9947  fused
                1459       0.02839       0.12323             -             -     +673.5312  fused
                1460       0.02558       0.12317             -             -     -151.9557  fused
                1462       0.04247       0.12304             -             -     +370.7856  fused
                1463       0.04526       0.12298             -             -      +93.0524  fused
                1464       0.04146       0.12291             -             -     -128.1120  fused
                1466       0.07325       0.12279             -             -     +417.2295  fused
                1467       0.06662       0.12272             -             -     -138.7991  fused
                1469       0.00845       0.12260             -             -    -1515.0536  fused
                1470      -0.03461       0.12254             -             -    +2071.7216  fused
                1472      -0.03081       0.12241             -             -      -85.4022  fused
                1473      -0.01767       0.12235             -             -     -818.5434  fused
                1475      -0.03618       0.12222             -             -     +528.4009  fused
                1476      -0.05098       0.12216             -             -     +506.2887  fused
                1478      -0.03289       0.12204             -             -     -323.2622  fused
                1479      -0.04198       0.12198             -             -     +361.0356  fused
                1481      -0.05444       0.12185             -             -     +192.4510  fused
                1482      -0.06617       0.12179             -             -     +289.4477  fused
                1484      -0.05043       0.12167             -             -     -201.2445  fused
                1485      -0.04806       0.12161             -             -      -71.0217  fused
                1487       0.01251       0.12148             -             -     -999.9678  fused
                1488       0.00388       0.12142             -             -    -1741.5077  fused
                1490       0.05078       0.12130             -             -    +1915.1346  fused
                1491       0.06457       0.12124             -             -     +358.3795  fused
                1493       0.07289       0.12112             -             -      +90.7475  fused
                1494       0.04249       0.12106             -             -     -805.9471  fused
                1496       0.01249       0.12094             -             -     -914.6671  fused
                1497       0.02950       0.12087             -             -    +1286.1106  fused
                1498       0.03182       0.12081             -             -     +113.2919  fused
                1500      -0.00754       0.12069             -             -    -1078.3581  fused
                1501       0.02547       0.12063             -             -    +1826.0688  fused
                1503       0.03924       0.12051             -             -     +324.6742  fused
                1505       0.02764       0.12039             -             -     -263.2114  fused
                1506       0.02891       0.12033             -             -      +67.7523  fused
                1508      -0.00403       0.12021             -             -    -1483.6534  fused
                1509      -0.00516       0.12015             -             -     +371.8603  fused
                1511      -0.05931       0.12003             -             -    +1843.7275  fused
                1512      -0.11228       0.11997             -             -     +964.8549  fused
                1514      -0.04737       0.11986             -             -     -652.5502  fused
                1515      -0.04497       0.11980             -             -      -78.6679  fused
                1517      -0.04250       0.11968             -             -      -42.6234  fused
                1518      -0.06709       0.11962             -             -     +693.2314  fused
                1520      -0.06922       0.11950             -             -      +23.9679  fused
                1521      -0.02216       0.11944             -             -    -1731.7229  fused
                1523       0.05314       0.11932             -             -     +665.9700  fused
                1524       0.05271       0.11927             -             -      -12.2394  fused
                1526       0.06598       0.11915             -             -     +171.4525  fused
                1527       0.07149       0.11909             -             -     +122.6168  fused
                1529       0.03937       0.11897             -             -     -455.5507  fused
                1530       0.00179       0.11891             -             -    -4729.5499  fused
                1532       0.03072       0.11880             -             -    +2177.6987  fused
                1533       0.02367       0.11874             -             -     -399.4038  fused
                1535      -0.00074       0.11862             -             -    -2662.5195  fused
                1536      -0.03438       0.11857             -             -    +5903.9514  fused
                1538      -0.02226       0.11845             -             -     -333.6412  fused
                1540      -0.05910       0.11833             -             -     +751.6093  fused
                1541      -0.00943       0.11828             -             -    -2826.4246  fused
                1543       0.04705       0.11816             -             -    +1239.0599  fused
                1544       0.04579       0.11810             -             -      -41.6622  fused
                1546       0.04120       0.11799             -             -      -81.2431  fused
                1547       0.02167       0.11793             -             -     -993.4652  fused
                1549       0.01302       0.11782             -             -     -393.9492  fused
                1550       0.00769       0.11776             -             -     -815.9848  fused
                1552       0.01120       0.11765             -             -     +292.0562  fused
                1553       0.02004       0.11759             -             -     +903.1245  fused
                1555       0.01147       0.11748             -             -     -433.2579  fused
                1557      -0.01316       0.11736             -             -     +107.1660  fused
                1558      -0.04257       0.11731             -             -    +1828.5625  fused
                1560      -0.12741       0.12741             -             -     +854.8457  fused
                1561      -0.08618       0.12735             -             -     -609.8803  fused
                1563      -0.04598       0.12723             -             -     -490.3749  fused
                1564      -0.04697       0.12717             -             -      +33.4623  fused
                1566      -0.03477       0.12705             -             -     -235.1900  fused
                1567      -0.00552       0.12699             -             -    -2882.0255  fused
                1569       0.03497       0.12687             -             -    +1447.3726  fused
                1571       0.07559       0.12674             -             -     +605.3194  fused
                1572       0.06691       0.12668             -             -     -191.4128  fused
                1574       0.07176       0.12656             -             -      +55.3336  fused
                1575       0.04528       0.12650             -             -     -724.7771  fused
                1577       0.07851       0.12638             -             -     +433.8948  fused
                1578       0.07423       0.12632             -             -      -88.0734  fused
                1580       0.03200       0.12620             -             -     -664.1057  fused
                1582      -0.00187       0.12608             -             -    -2245.4375  fused
